Unnamed: 0,Total_Codes_Applied,Codes_Applied
11 : A Developmental Model of Research Mentoring.,0,
12 : A first-year research experience~ The Freshman Project in Physics at Loyola University Chicago,0,
13 : A grounded theory model of the dynamics of undergraduate engineering students' researcher identity and epistemic thinking.,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BV : Mixed modality"
14 : A High-Enrollment Course-Based Undergraduate Research Experience Improves Student Conceptions of Scientific Thinking and Ability to Interpret Data,6,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
15 : A Learner-Centered Teaching Model Integrating Undergraduate Research and Service Learning.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"16 : A longitudinal analysis of developing marine science identity in a place-based, undergraduate research experience.",7,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
"17 : A Low-Cost, In Silico Nutritional Genomics Course-Based Undergraduate Research Experience Applicable to Multiple Disciplines",6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"18 : A Low-Intensity, Hybrid Design between a ~Traditional~ and a ~Course-Based~ Research Experience Yields Positive Outcomes for Science Undergraduate Freshmen and Shows Potential for Large-Scale Application",6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
19 : A Mathematics Pipeline to Student Success in Data Analytics through Course-Based Undergraduate Research.,7,"C : COVID-19, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
20 : A Model for an Undergraduate Research Experience Programin Quantitative Sciences.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
21 : A Model for Successful Cross-Campus Collaboration for Engaging Potentially At-Risk Students in Mentored Undergraduate Research Early in Their College Career,7,"E : Social Sciences and or Humanities, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented"
22 : A novel undergraduate biomedical laboratory course concept in synergy with ongoing faculty research.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
23 : A Perspective of Gender Differences in Chemistry and Physics Undergraduate Research Experiences.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BW : Not Specified"
24 : A phenomenological and ecological perspective on the influence of undergraduate research experiences on Black women's persistence in STEM at an HBCU.,8,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
25 : A report on learning gains and student confidence after incorporating an enzyme purification and characterization course‐based undergraduate experience.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
26 : A Research Preparatory Program for First-Year College Students~ Student Selection and Preparation Lead to Persistence in Research.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
"27 : A Student-Centered, Entrepreneurship Development (ASCEND) Undergraduate Summer Research Program~ Foundational Training for Health Research",7,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BX : Summer-Based Program"
"28 : A Water Quality Study in Rutherford County, Tennessee~ Student Group Project",0,
29 : Academic Factors That Affect Undergraduate Research Experiences.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
30 : Advice to Future Participants From Six Cohorts of an Undergraduate Summer Research Program in Atmospheric Science.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
31 : Alumni Perceptions Used to Assess Undergraduate Research Experience.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
32 : An Effective Model for Enhancing Underrepresented Minority Participation and Success in Geoscience Undergraduate Research,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality, BZ : Underrepresented"
33 : An Evaluation of a Course that Introduces Undergraduate Students to Authentic Aerospace Engineering Research.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
34 : An Evaluation of a STEM Summer Undergraduate Research Internship Scheme~ Student-Perceived Learning Gains,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
35 : An IDeA for enhancing undergraduate research at rural primarily undergraduate institutions.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
36 : An Interdisciplinary STEM Course-Based Undergraduate Research Experience Establishes a Community of Practice and Promotes Psychosocial Gains.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
37 : An Online Training Program to Enhance Novice Researchers' Knowledge and Skills,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
38 : An Undergraduate Research Approach That Increased Student Success at a Hispanic-Serving Institution (HSI)~ The SURE Program at Texas State University,1,AV : FLAG
39 : An Undergraduate Research Experience Studying Ras and Ras Mutants.,7,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
40 : An Undergraduate STEM Interdisciplinary Research Program~ Factors Predictive Of Students' Plans For Careers In STEM.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
41 : Analysis of Undergraduate Research Experiences in an Interdisciplinary Water Science and Engineering Program.,7,"F : STEM, BB : Mixed or Multi-Methods, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program"
42 : Approaching Undergraduate Research with Students Who Are Deaf and Hard-of-Hearing,6,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BX : Summer-Based Program"
43 : Assessing the Impact of Undergraduate Research on Graduation Rates at the University of Georgia.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
44 : Authentic Science Research Opportunities~ How Do Undergraduate Students Begin Integration Into a Science Community of Practice~,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
"45 : Becoming a Scientist~ The Role of Undergraduate Research in Students' Cognitive, Personal, and Professional Development.",7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BX : Summer-Based Program"
46 : Benefits of a Prerequisite Majors' (General) Chemistry Course in STEM Retention and Graduation Rates as Measured through Success in a Biology CURE Course,7,"C : COVID-19, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
47 : Benefits of Undergraduate Research Experiences.,8,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BR : Undefined, BS : Program type, BW : Not Specified"
48 : Best Practices for Facilitating a Successful Human Services Undergraduate Research Lab at a Practitioner-focused University.,7,"E : Social Sciences and or Humanities, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
49 : Between Culture and Curricula~ Exploring Student and Faculty Experiences of Undergraduate Research and Inquiry.,7,"E : Social Sciences and or Humanities, F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
50 : Biomedical Freshman Research Initiative~ A Course-based Undergraduate Research Experience at a Hispanic-Serving Institution.,8,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
51 : Building a biomedical pipeline~ the impact of the Idaho IDeA INBRE summer research experience at a primarily undergraduate institution.,1,AV : FLAG
52 : Building a Culture of Undergraduate Research~ A Case Study,0,
53 : Building a Culture of Undergraduate Research~A Case Study,7,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
54 : BUILDing Equity in STEM~ A Collaborative Undergraduate Research Program to Increase Achievement of Underserved Community College Students,8,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, BZ : Underrepresented"
55 : Can first-year undergraduate geography students do individual research~,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
56 : Can higher education increase students' moral reasoning~ The role of student engagement in the U.S.,8,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BO : Community College, BS : Program type, BW : Not Specified"
57 : Can Undergraduate Research Participation Reduce the Equity Gap~,8,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BU : Individual Apprenticeship or Assistantship with Faculty"
58 : Cancer and chemicals~ A research‐inspired laboratory exercise based on the Ames test for mutagenicity.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
59 : Centering Racially Minoritized Student Voices in High-Impact Practices,7,"E : Social Sciences and or Humanities, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, BZ : Underrepresented"
"60 : Co-Curricular Connections~ The Role of Undergraduate Research Experiences in Promoting Engineering Students' Communication, Teamwork, and Leadership Skills.",6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
61 : Collaborative Assessment of Collective Reach and Impact among INBRE Supported Summer Undergraduate Research Programs across the United States,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program"
62 : Combining novel research and community-engaged learning in an undergraduate physiology laboratory course.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
63 : Comparing the Outcomes of ~pre-CURE~ Compared to Inquiry-based Introductory Biology Labs.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
64 : Competent and Employed~ STEM Alumni Perspectives on Undergraduate Research and NACE Career-Readiness Competencies,7,"C : COVID-19, F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
65 : Connecting Identity with Research~ Socializing Students of Color Towards Seeing Themselves as Scholars.,8,"E : Social Sciences and or Humanities, F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
66 : Connecting interdisciplinary research and place-based learning~ Using a local ecosystem as the focus for an undergraduate research group.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
67 : Contrasting Science Learning Gains and Attitudes of Students in an Early Research-Based Experience.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
68 : Converting a Formerly In-Person Biochemistry Course Based Undergraduate Research Experience to Online Teaching during the COVID-19 Pandemic,7,"C : COVID-19, F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"69 : Corporate Internships, Undergraduate Research, and Finances~ Successful African American Engineers' Consideration of Immediate Workforce Entry or Graduate School.",7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, BZ : Underrepresented"
70 : Course-Based Research as a Catalyst for Undergraduates' Interest in Scientific Investigation~ Benefits of the SEA-PHAGES Program.,6,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
71 : Course-Based Research in the First Semester of College~ Teaching Inquiry and Building Community Using Constructed Wetlands for Greywater Treatment.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BO : Community College, BS : Program type, BT : Course-Based Program"
72 : Course-based undergraduate research experiences are a viable approach to increase access to research experiences in biology.,7,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BX : Summer-Based Program"
73 : Course-Based Undergraduate Research Experiences Performance Following the Transition to Remote Learning During the COVID-19 Pandemic.,10,"C : COVID-19, E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
74 : Course-Based Undergraduate Research Experiences Spanning Two Semesters of Biology Impact Student Self-Efficacy but not Future Goals.,8,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
75 : Course-Based Undergraduate Research Experience~ Music Education and Music Therapy Student Outcomes.,6,"E : Social Sciences and or Humanities, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
76 : Course-Based Undergraduate Research In Upper-Level Engineering Electives~ A Case Study.,7,"C : COVID-19, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
77 : Creating a Biology ~Studio~ to Promote Undergraduate Research,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
78 : Creating More Inclusive Research Environments for Undergraduates.,8,"E : Social Sciences and or Humanities, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BV : Mixed modality, BZ : Underrepresented"
79 : Critical Features and Value in Assessing a Research Experience for Undergraduates~ The Case of Engineering Cities.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
80 : Cross-Discipline Perceptions of the Undergraduate Research Experience,7,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
81 : Cultivating minority scientists~ Undergraduate research increases self-efficacy and career ambitions for underrepresented students in STEM.,8,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented"
82 : Cultivating Native American scientists~ an application of an Indigenous model to an undergraduate research experience.,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
"83 : Cultural capital in undergraduate research~ an exploration of how biology students operationalize knowledge to access research experiences at a large, public research-intensive institution.",6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
84 : CUREing cancer~ Development and implementation of a molecular biology‐focused course‐based undergraduate research experience using a cancer cell culture model.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
85 : Data Literacy Practices of Students Conducting Undergraduate Research.,7,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
86 : Designing MATLAB course for undergraduates in cartography and geographic information science~ linking research and teaching.,6,"E : Social Sciences and or Humanities, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
87 : Designing Mentorship_Exploring the Challenges and Benefits of Undergraduate Research,7,"E : Social Sciences and or Humanities, F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
88 : DESIGNING MENTORSHIP~ EXPLORING THE CHALLENGES AND BENEFITS OF UNDERGRADUATE RESEARCH.,0,
"89 : Developing a culture of mentoring~ promoting, experiencing, and engaging in mentoring through a transitional undergraduate research program for students of color.",8,"E : Social Sciences and or Humanities, F : STEM, BC : Qualitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
90 : Developing Collaboration Skills in Team Undergraduate Research Experiences.,0,
91 : Developing graduate attributes through participation in undergraduate research conferences.,6,"E : Social Sciences and or Humanities, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
92 : Developing Prerequisite Skills in a CURE through Competency-Based Assignments,0,
93 : Developing Prerequisite Skills in a CURE through Competency-Based Assignments (2),6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
94 : Developing Prerequisite Skills in a CURE through Competency-Based Assignments (2) (2),0,
95 : Developing Prerequisite Skills in a CURE through Competency-Based Assignments (3),0,
"96 : Development and Assessment of an Undergraduate Research Program at a Two-Year, Rural, Hispanic-Serving Institution~ The Essential Role of Partnerships",8,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BO : Community College, BP : Minority Serving Institution, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented"
97 : Development of a Large-Enrollment Course-Based Research Experience in an Undergraduate Organic Chemistry Laboratory~ Structure-Function Relationships in Pyrylium Photoredox Catalysts,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
98 : Development of Course-Based Undergraduate Research Experiences Using a Design-Based Approach.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
99 : Do Working Students Buy Into HIPs~ Working for Pay and Participation in High-Impact Practices.,7,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
100 : Does Early Participation in Undergraduate Research Benefit Social Science and Humanities Students~,6,"E : Social Sciences and or Humanities, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
101 : Does exposure to research experiences have different learning outcomes than prior exposure to lab techniques in non‐research settings~,7,"C : COVID-19, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
102 : Does independent research with a faculty member enhance four-year graduation and graduate~professional degree plans~ Convergent results with different analytical methods.,7,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
103 : Does It Matter if I Call It a CURE~ Identity Development in Online Entrepreneurship Coursework,8,"C : COVID-19, E : Social Sciences and or Humanities, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program"
104 : Early undergraduate research experiences lead to similar learning gains for STEM and Non-STEM undergraduates.,7,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
105 : Early year undergraduate researchers' reflections on the values and perceived costs of their research experience.,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented"
106 : Effects of an Undergraduate Research Experience on Pre-Service Teachers' Perceptions.,6,"E : Social Sciences and or Humanities, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"107 : Effects of Discovery, Iteration, and Collaboration in Laboratory Courses on Undergraduates' Research Career Intentions Fully Mediated by Student Ownership",6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program"
108 : Effects of gender concordance in mentoring relationships on summer research experience outcomes for undergraduate students.,7,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
109 : Effects of mentoring relationship heterogeneity on student outcomes in summer undergraduate research.,8,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BO : Community College, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
110 : Engaging novice researchers in the process and culture of science using a 'Pass-the-Problem' case strategy.,9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AV : FLAG, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
111 : Engaging Students With Computing And Climate Change Through A Course In Scientific Computing.,9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BT : Course-Based Program"
112 : Engaging Students~ An Authentic Undergraduate Research Experience,9,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
113 : Engaging Two-Year College Students in Geoscience~ Summer Pre-REU Internships and Professional Development to Prepare Students for Participation in Research,9,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BO : Community College, BS : Program type, BX : Summer-Based Program"
"114 : Engineering Students' Beliefs About Research~ Sex Differences, Personality, and Career Plans.",10,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
115 : Engineering Students' Epistemic Cognition in a Research Environment.,4,"G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills"
116 : Establishing a STEM Summer Research Program for Underrepresented Minority Students.,15,"F : STEM, G : Experiences and Outcomes of URE, O : Access to UREs, S : General Perceptions and Experiences, W : Graduate School and Career, AD : Identity Development, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BJ : Negative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented, CA : Underrepresented Group"
117 : Establishing the Benefits of Research Experiences for Undergraduates in the Sciences~ First Findings from a Three-Year Study.,13,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BJ : Negative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
118 : Evaluating a Summer Undergraduate Research Program~ Measuring Student Outcomes and Program Impact.,13,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
119 : Evaluating Research Self-Efficacy in Undergraduate Students~ Experience Matters.,13,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BV : Mixed modality, BZ : Underrepresented, CA : Underrepresented Group"
120 : Evaluation of a BSW Research Experience~ Improving Student Research Competency.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
121 : Evaluation of an undergraduate research experience~ perceptions of undergraduate interns and their faculty mentors.,9,"F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BX : Summer-Based Program"
122 : Evaluation of the Impact of the NWC REU Program Compared with Other Undergraduate Research Experiences.,9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program"
