Article_ID,Original_Identifier,Title,Extracted_Year,Extracted_Author,Title_Length,Total_Codes_Applied,Number_of_Codes,Codes_Applied,Code_Frequencies,Code_A : Academic Success,Code_B : Access to UREs,Code_C : COVID-19,Code_D : Discipline,Code_E : Social Sciences and or Humanities,Code_F : STEM,Code_G : Experiences and Outcomes of URE,Code_H : Academic Success,Code_I : Awards,Code_J : GPA,Code_K : Graduation,Code_L : Persistence and Retention,Code_M : Publications,Code_N : Transfer,Code_O : Access to UREs,Code_P : Application Experiences,Code_Q : Barriers to URE,Code_R : Share of URM Students,Code_S : General Perceptions and Experiences,Code_T : Experiences,Code_U : Program Expectations,Code_V : Satisfaction,Code_W : Graduate School and Career,Code_X : Aspirations OR Expectations related to attending Graduate School,Code_Y : Career Readiness,Code_Z : Earnings,Code_AA : Employment,Code_AB : Enrollment in a Graduate Program,Code_AC : Future or Long-Term Planning,Code_AD : Identity Development,Code_AE : Individual Identity Development,Code_AF : Professional Identity Development,Code_AG : Non-Cognitive Skills,Code_AH : Communication,Code_AI : Critical Thinking,Code_AJ : General Self-Efficacy OR Research Self-Efficacy OR Confidence,Code_AK : Leadership,Code_AL : Resilience and Perseverance,Code_AM : Teamwork and Collaboration and Interpersonal Skills,Code_AN : Technical Skills,Code_AO : Time Management and Organization,Code_AP : Use of Mentorship and Campus Supports,Code_AQ : Faculty,Code_AR : Peer,Code_AS : Well-being,Code_AT : Anxiety,Code_AU : Well-being and Mental Health,Code_AV : FLAG,Code_AW : General Perceptions and Experiences,Code_AX : General Perceptions.Experiences,Code_AY : Graduate School and Career,Code_AZ : Identity Development,Code_BA : Methodology,Code_BB : Mixed or Multi-Methods,Code_BC : Qualitative,Code_BD : Quantitative,Code_BE : Modality,Code_BF : In-Person Program,Code_BG : Mixed-Mode Program,Code_BH : Not Specified,Code_BI : Online Program,Code_BJ : Negative,Code_BK : Negative experience or outcome,Code_BL : Non-cognitive skills,Code_BM : Primary Institutional Context,Code_BN : 4-Year University,Code_BO : Community College,Code_BP : Minority Serving Institution,Code_BQ : Multi-institutional,Code_BR : Undefined,Code_BS : Program type,Code_BT : Course-Based Program,Code_BU : Individual Apprenticeship or Assistantship with Faculty,Code_BV : Mixed modality,Code_BW : Not Specified,Code_BX : Summer-Based Program,Code_BY : Sense of belonging,Code_BZ : Underrepresented,Code_CA : Underrepresented Group,Code_CB : Use of Mentorship and Campus Supports,Code_CC : Well-being
11,11 : A Developmental Model of Research Mentoring.,A Developmental Model of Research Mentoring.,,11,49,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12 : A first-year research experience~ The Freshman Project in Physics at Loyola University Chicago,A first-year research experience~ The Freshman Project in Physics at Loyola University Chicago,,12,99,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13 : A grounded theory model of the dynamics of undergraduate engineering students' researcher identity and epistemic thinking.,A grounded theory model of the dynamics of undergraduate engineering students' researcher identity and epistemic thinking.,,13,127,7,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BV : Mixed modality","F : STEM(1), BC : Qualitative(1), BM : Primary Institutional Context(1), BP : Minority Serving Institution(1), BQ : Multi-institutional(1), BS : Program type(1), BV : Mixed modality(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
14,14 : A High-Enrollment Course-Based Undergraduate Research Experience Improves Student Conceptions of Scientific Thinking and Ability to Interpret Data,A High-Enrollment Course-Based Undergraduate Research Experience Improves Student Conceptions of Scientific Thinking and Ability to Interpret Data,,14,151,6,6,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BC : Qualitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,15 : A Learner-Centered Teaching Model Integrating Undergraduate Research and Service Learning.,A Learner-Centered Teaching Model Integrating Undergraduate Research and Service Learning.,,15,95,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,"16 : A longitudinal analysis of developing marine science identity in a place-based, undergraduate research experience.","A longitudinal analysis of developing marine science identity in a place-based, undergraduate research experience.",,16,119,7,7,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented","F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BX : Summer-Based Program(1), BZ : Underrepresented(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
17,"17 : A Low-Cost, In Silico Nutritional Genomics Course-Based Undergraduate Research Experience Applicable to Multiple Disciplines","A Low-Cost, In Silico Nutritional Genomics Course-Based Undergraduate Research Experience Applicable to Multiple Disciplines",,17,129,6,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
18,"18 : A Low-Intensity, Hybrid Design between a ~Traditional~ and a ~Course-Based~ Research Experience Yields Positive Outcomes for Science Undergraduate Freshmen and Shows Potential for Large-Scale Application","A Low-Intensity, Hybrid Design between a ~Traditional~ and a ~Course-Based~ Research Experience Yields Positive Outcomes for Science Undergraduate Freshmen and Shows Potential for Large-Scale Application",,18,208,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,19 : A Mathematics Pipeline to Student Success in Data Analytics through Course-Based Undergraduate Research.,A Mathematics Pipeline to Student Success in Data Analytics through Course-Based Undergraduate Research.,,19,109,7,7,"C : COVID-19, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","C : COVID-19(1), F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,20 : A Model for an Undergraduate Research Experience Programin Quantitative Sciences.,A Model for an Undergraduate Research Experience Programin Quantitative Sciences.,,20,86,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BX : Summer-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,21 : A Model for Successful Cross-Campus Collaboration for Engaging Potentially At-Risk Students in Mentored Undergraduate Research Early in Their College Career,A Model for Successful Cross-Campus Collaboration for Engaging Potentially At-Risk Students in Mentored Undergraduate Research Early in Their College Career,,21,161,7,7,"E : Social Sciences and or Humanities, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented","E : Social Sciences and or Humanities(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BU : Individual Apprenticeship or Assistantship with Faculty(1), BZ : Underrepresented(1)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
22,22 : A novel undergraduate biomedical laboratory course concept in synergy with ongoing faculty research.,A novel undergraduate biomedical laboratory course concept in synergy with ongoing faculty research.,,22,105,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23,23 : A Perspective of Gender Differences in Chemistry and Physics Undergraduate Research Experiences.,A Perspective of Gender Differences in Chemistry and Physics Undergraduate Research Experiences.,,23,101,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BW : Not Specified","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BR : Undefined(1), BS : Program type(1), BW : Not Specified(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
24,24 : A phenomenological and ecological perspective on the influence of undergraduate research experiences on Black women's persistence in STEM at an HBCU.,A phenomenological and ecological perspective on the influence of undergraduate research experiences on Black women's persistence in STEM at an HBCU.,,24,154,8,8,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented","F : STEM(1), BC : Qualitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BP : Minority Serving Institution(1), BS : Program type(1), BT : Course-Based Program(1), BZ : Underrepresented(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
25,25 : A report on learning gains and student confidence after incorporating an enzyme purification and characterization course‐based undergraduate experience.,A report on learning gains and student confidence after incorporating an enzyme purification and characterization course‐based undergraduate experience.,,25,157,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
26,26 : A Research Preparatory Program for First-Year College Students~ Student Selection and Preparation Lead to Persistence in Research.,A Research Preparatory Program for First-Year College Students~ Student Selection and Preparation Lead to Persistence in Research.,,26,135,6,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program","F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BX : Summer-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27,"27 : A Student-Centered, Entrepreneurship Development (ASCEND) Undergraduate Summer Research Program~ Foundational Training for Health Research","A Student-Centered, Entrepreneurship Development (ASCEND) Undergraduate Summer Research Program~ Foundational Training for Health Research",,27,143,7,7,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BX : Summer-Based Program","F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BP : Minority Serving Institution(1), BS : Program type(1), BX : Summer-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
28,"28 : A Water Quality Study in Rutherford County, Tennessee~ Student Group Project","A Water Quality Study in Rutherford County, Tennessee~ Student Group Project",,28,81,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29 : Academic Factors That Affect Undergraduate Research Experiences.,Academic Factors That Affect Undergraduate Research Experiences.,,29,69,6,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified","F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BW : Not Specified(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
